"","value"
"PI 162675",16.7357163853071
"PI 162784",18.2949098686471
"PI 170393",17.5178728348201
"PI 170394",16.9027728316809
"PI 170418",17.8494260172189
"PI 170423",14.9297501811524
"PI 170426",18.6315824667318
"PI 170431",17.4570679381233
"PI 171655",17.0976720160543
"PI 172907",19.1616742613974
"PI 175723",18.0772873586188
"PI 175724",18.6594252080725
"PI 175725",17.6437514229649
"PI 175727",19.3327704009007
"PI 175732",17.5380364534673
"PI 176973",17.9380736535858
"PI 176974",16.6979488566908
"PI 176975",18.4062808323395
"PI 192943",18.1252937186068
"PI 193775",22.761173087744
"PI 219649",19.8237009053094
"PI 219650",20.2464614327533
"PI 226465",11.9771674182726
"PI 251464",19.7756945469919
"PI 251901",18.4619663133504
"PI 253416",19.4086195005589
"PI 253776",17.7653484026722
"PI 257640",17.7963002432156
"PI 257641",17.7587011372517
"PI 257642",17.63180350552
"PI 257643",16.5408172009337
"PI 262515",16.5104147509148
"PI 262519",17.1786405313983
"PI 262520",18.4517274836493
"PI 262521",15.7637801671067
"PI 265099",16.8633245018948
"PI 265100",17.4293986297204
"PI 265103",16.8633245018948
"PI 267665",18.6011800183834
"PI 287231",16.986301052362
"PI 289622",17.6266840898342
"PI 289623",17.3405775604157
"PI 289624",17.2900114934201
"PI 289625",16.7053139369588
"PI 289626",16.986301052362
"PI 289627",18.5810163997362
"PI 291402",18.0417654962552
"PI 291407",15.7561010444132
"PI 291411",16.872370381662
"PI 294658",16.4851317199229
"PI 296287",18.2721865429922
"PI 296292",18.9960978044866
"PI 297475",16.1004527618502
"PI 297476",17.8292623985716
"PI 297477",16.6547478699631
"PI 297479",17.6823695725157
"PI 297480",16.905332537018
"PI 297481",17.907671206908
"PI 298632",18.1025703912814
"PI 299991",17.1573715928812
"PI 307941",14.3994858664695
"PI 343805",16.5331380782403
"PI 371934",17.067269567706
"PI 371935",17.2951309091059
"PI 371936",17.679809865508
"PI 372173",15.7890631980986
"PI 372174",15.5333591170285
"PI 372176",16.1694599629954
"PI 372178",15.8473083894583
"PI 378893",16.3737607562305
"PI 378894",16.707873645637
"PI 379608",18.4939061692452
"PI 386238",15.6977604900252
"PI 386239",15.7029752704099
"PI 386320",14.4702155521124
"PI 386321",16.5104147509148
"PI 386322",16.5965026819446
"PI 386323",13.0553551878207
"PI 402584",16.1763018631789
"PI 402586",18.4645260220286
"PI 406022",17.3143364533243
"PI 406645",17.5918822663862
"PI 431516",11.5352087017503
"PI 431518",12.3237648053034
"PI 431519",12.154148651922
"PI 431521",14.4149588363537
"PI 431522",11.8581173335573
"PI 432504",16.9775135327591
"PI 432507",16.3865592929392
"PI 432511",15.4084845349717
"PI 432513",17.6491227769374
