,ACCESSION,ORIGIN,Latitude ,Longitude
1,PI_650720,"Andalucía, Spain",37.462212,-5.34839
2,PI_600716,"Andalucía, Spain",37.462212,-5.34839
3,PI_633612,"Andalucía, Spain",37.462212,-5.34839
4,PI_633613,"Andalucía, Spain",37.462212,-5.34839
5,PI_633614,"Andalucía, Spain",37.462212,-5.34839
6,PI_633615,"Andalucía, Spain",37.462212,-5.34839
7,PI_641057,"Andalucía, Spain",37.462212,-5.34839
8,PI_641058,"Andalucía, Spain",37.462212,-5.34839
9,PI_641059,"Andalucía, Spain",37.462212,-5.34839
10,PI_650396,Argentina,-38.416096,-63.616673
11,PI_650537,Argentina,-38.416096,-63.616673
12,PI_650538,Argentina,-38.416096,-63.616673
13,PI_650539,Argentina,-38.416096,-63.616673
14,PI_162675,Argentina,-38.416096,-63.616673
15,PI_162784,Argentina,-38.416096,-63.616673
16,PI_402584,Argentina,-38.416096,-63.616673
17,PI_402586,Argentina,-38.416096,-63.616673
18,PI_650796,Argentina,-38.416096,-63.616673
19,PI_650798,Argentina,-38.416096,-63.616673
20,PI_650811,Argentina,-38.416096,-63.616673
21,PI_650816,Argentina,-38.416096,-63.616673
22,PI_650830,Argentina,-38.416096,-63.616673
23,PI_650511,"Arizona, United States",34.048927,-111.093735
24,PI_432504,"Arizona, United States",34.048927,-111.093735
25,PI_432507,"Arizona, United States",34.048927,-111.093735
26,PI_432513,"Arizona, United States",34.048927,-111.093735
27,PI_432514,"Arizona, United States",34.048927,-111.093735
28,PI_406645,Australia,-25.274399,133.775131
29,PI_378893,"Buenos Aires, Argentina",-34.603683,-58.381557
30,PI_378894,"Buenos Aires, Argentina",-34.603683,-58.381557
31,PI_650337,Bulgaria,42.733883,25.48583
32,PI_650338,Bulgaria,42.733883,25.48583
33,PI_664149,Bulgaria,42.733883,25.48583
34,PI_650781,Bulgaria,42.733883,25.48583
35,PI_650785,Bulgaria,42.733883,25.48583
36,PI_262515,Bulgaria,42.733883,25.48583
37,PI_476759,Bulgaria,42.733883,25.48583
38,PI_531390,Bulgaria,42.733883,25.48583
39,PI_664168,"California, United States",36.778259,-119.417931
40,PI_192943,China,35.86166,104.195396
41,PI_650791,China,35.86166,104.195396
42,PI_650793,China,35.86166,104.195396
43,PI_664164,"Connecticut, United States",41.500751,-72.757378
44,PI_600987,"Connecticut, United States",41.500751,-72.757378
45,PI_193775,Ethiopia,9.145,40.489674
46,PI_471077,Former Serbia and Montenegro,42.708679,19.37439
47,PI_251901,"Former, Soviet Union",42.219111,43.970434
48,PI_257640,"Former, Soviet Union",42.219111,43.970434
49,PI_257641,"Former, Soviet Union",42.219111,43.970434
50,PI_257642,"Former, Soviet Union",42.219111,43.970434
51,PI_257643,"Former, Soviet Union",42.219111,43.970434
52,PI_265099,"Former, Soviet Union",42.219111,43.970434
53,PI_265103,"Former, Soviet Union",42.219111,43.970434
54,PI_287231,"Former, Soviet Union",42.219111,43.970434
55,PI_291411,"Former, Soviet Union",42.219111,43.970434
56,PI_298632,"Former, Soviet Union",42.219111,43.970434
57,PI_307941,"Former, Soviet Union",42.219111,43.970434
58,PI_372173,"Former, Soviet Union",42.219111,43.970434
59,PI_372174,"Former, Soviet Union",42.219111,43.970434
60,PI_372176,"Former, Soviet Union",42.219111,43.970434
61,PI_372178,"Former, Soviet Union",42.219111,43.970434
62,PI_497243,"Former, Soviet Union",42.219111,43.970434
63,PI_497249,"Former, Soviet Union",42.219111,43.970434
64,PI_497250,"Former, Soviet Union",42.219111,43.970434
65,PI_650362,France,46.227638,2.213749
66,PI_650363,France,46.227638,2.213749
67,PI_289622,France,46.227638,2.213749
68,PI_289623,France,46.227638,2.213749
69,PI_289624,France,46.227638,2.213749
70,PI_289625,France,46.227638,2.213749
71,PI_289626,France,46.227638,2.213749
72,PI_289627,France,46.227638,2.213749
73,PI_297475,France,46.227638,2.213749
74,PI_297476,France,46.227638,2.213749
75,PI_297477,France,46.227638,2.213749
76,PI_297479,France,46.227638,2.213749
77,PI_297480,France,46.227638,2.213749
78,PI_297481,France,46.227638,2.213749
79,PI_531350,France,46.227638,2.213749
80,PI_531393,France,46.227638,2.213749
81,PI_650364,Germany,51.165691,10.451526
82,PI_650365,Germany,51.165691,10.451526
83,PI_650368,Germany,51.165691,10.451526
84,PI_650369,Germany,51.165691,10.451526
85,PI_650370,Germany,51.165691,10.451526
86,PI_650372,Germany,51.165691,10.451526
